term1,term2,related
Teilsprache,Universitäts-website,1
Xml-format,Entitätstyp,1
Hashtabelle,Datumenmodell,1
Preprint-server,Attribut,1
Data-warehouse-system,Programm,1
Manipulationssprache,Aufwand,1
Tabelle,Speicher,1
Speichermedium,Satz,1
Laufzeitfehler,Artikelnummer,1
Dokumentenserver,Bestand,1
Referenztabelle,Abfragesprache,1
Modeling,Netzwerk,1
Relationale-datenbank-muster,Format,1
Dta-verfahren,Verfahren,1
Mastertabelle,Muster,1
Quelltabelle,Programmzustand,1
Warning,Fehler,1
Anwendungsprogramm,Anwendungsseite,1
Datenbanksystem,Echtzeitauswertung,1
Datenmanipulationssprache,Verteilung,1
Transaktion,Artikelname,1
Data-warehouse-system,Masseneinsatz,1
Data-warehouse-system,Struktur,1
Anbieterserver,Projekt,1
Single-server,Format,1
Xml-format,Fremdschlüsselbegrenzung,1
Berechnungsmodell,Datenbankanwendung,1
Harvesting,Speichermedium,1
Verbund,Zweck,1
Hochschulschriftenserver,Datenverarbeitungssprache,1
Publikationsserver,Softwarelösung,1
Laufzeitinformation,Benutzerfehler,1
Objektdatenbankmodell,Feldname,1
Datumensatz,Spezialfall,1
Datenspeichersystem,Xml-format,1
Manipulationssprache,Transaktion,1
Programm,Verbund,1
Information,Logdatei,1
Datenbanksystem,Netzwerkdatenbankmodell,1
Preprint-server,Lastenverteilung,1
Information,Fehler,1
Single-server,Kundennummer,1
Master-server,Netzwerkdatenbankmodell,1
Anwendungsseite,Entitätstyp,1
Beginning,Anwendungsprogramm,1
Transaktionstabelle,Rdf-format,1
Fetching,Datenbankmodell,1
Sicherheitsmuster,Open-source-datenbank,1
Referenztabelle,Teilsprache,1
Dokumenten-server,Datumenmenge,1
Warning,Software,1
Data-warehouse-system,Quelle,1
Proxyserver,Registration,1
Manipulationssprache,Abfragesprache,1
Objektdatenbanksystem,Format,1
Objektdatenbanksystem,Problem,1
Tabelle,Nosql-datenbank,1
Datenbanksprache,Upgrade,1
Form,Format,1
Hintergrundprogramm,Streaming-media-applikation,1
Quelltabelle,Teilsprache,1
Mastertabelle,Datumenstruktur,1
Software,Medium,1
Sprache,Projekt,1
Windows-system,Datentyp,1
Programm,Zweck,1
Verhalten,Dta-verfahren,1
Relationale-datenbank-muster,Verfahren,1
Logging,Tracing,1
Mastertabelle,Installieren,1
Harvesting,Sprache,1
Processing,Zustand,1
Anbieterserver,Fall,1
Datenaufsichtssprache,Fall,1
Hochschulschriftenserver,Gunter,1
Lookup-tabelle,Ansi-sparc-architektur,1
Datenmanipulationssprache,Artikelname,1
Objektdatenbanksystem,Adressdaten,1
Hochschulschriftenserver,Dta-verfahren,1
Anbieterserver,Datenverarbeitungssprache,1
Rdf-format,Transaktionsprotokoll,1
Name,Telemedium,1
Internet-information,Ereignisprotokolldatei,1
Modeling,Feld,1
Proxyserver,Archivsoftware,1
Anbieterserver,Datenbanksprache,1
Versionsverwaltungssystem,Teil,1
Harvesting,Datenbankmodell,1
Objektdatenbankmodell,Netzwerkdatenbankmodell,1
Modeling,Modell,1
Versionsverwaltungssystem,Datumenbestand,1
Name,Speichermedium,1
Datenbanksystem,Sicherheit,1
Manipulationssprache,Teil,1
Sprache,Spezialfall,1
System,Verteilung,1
Rdf-format,Seite,1
Versionsverwaltungssystem,Objektdatenbank,1
Dokumenten-server,Windows-system,1
Datenbanksystem,Format,1
Data-warehouse-system,Tabellenform,1
Objektdatenbank,Datumenstruktur,1
Adressliste,Fall,1
Transaktionstabelle,Zweck,1
Datenbanksprache,Verhalten,1
Master-server,Objektdatenbank,1
Fremdschlüssel,Seite,1
Versionsverwaltungssystem,Protokolldatei,1
Datenspeichersystem,Softwareprojekt,1
Transaktionstabelle,Datenbanksprache,1
System,Objektdatenbankmodell,1
Ereignisprotokoll,Publikationsverbund,1
Datenmanipulationssprache,Kundennummer,1
E-mail-server,Struktur,1
Beginning,Software,1
Datenbanksprache,Ascii-code,1
Datenbankmodell,Name,1
Relationale-datenbank-muster,Kundennummer,1
Satz,Spezialfall,1
Mastertabelle,Protokoll,1
Sicherheitsmuster,Klasse,1
Datenmanipulationssprache,Fall,1
Sprache,Gruppe,1
Netzwerkdatenbankmodell,Name,1
Querverweistabelle,System,1
Publikationsserver,Klasse,1
Datenbanksystem,Berechnungsmodell,1
Manipulationssprache,Zweck,1
Proxyserver,Systementwicklung,1
Datenbanksprache,Datenbank-)abfragesprache,1
Tabellenform,Zweck,1
Anbieterserver,Quelle,1
Modeling,Software,1
Format,Feld,1
Data-warehouse-system,Dta-verfahren,1
Data-warehouse-system,Paket,1
Datenmanipulationssprache,Form,1
Anbieterserver,Verantwortlich,1
Muster,Stapelverarbeitung,1
Zurücksetzen,Setzen,1
Zieltabelle,Lastenverteilung,1
Dokumentenserver,Paketquelle,1
Berechnungsmodell,Archiv,1
Fetching,Bibliothek,1
Datenverarbeitungssprache,Verhalten,1
Master-server,Muster,1
Sprache,Fehler,1
Datenverarbeitungssprache,Stapelverarbeitung,1
Anbieterserver,Typ,1
Fehler,Verbund,1
Lookup-tabelle,Zweck,1
Datenbanksystem,System,1
Opus-server,Netzwerkdatenbankmodell,1
Eda-datenbank,Klasse,1
Harvesting,Geschäftstransaktion,1
Proxyserver,Datumenmenge,1
System,Projekt,1
Modell,Fall,1
Referenztabelle,Lastenverteilung,1
Datenbankmodell,Datenbankanwendung,1
Opus-server,Software,1
Sprache,Dini-datenbank,1
Datenspeicher,Fehler,1
Quelltabelle,Netzwerkdatenbankmodell,1
Modeling,Speicher,1
Transaktionstabelle,Datumensatz,1
Windows-system,Fall,1
Teil,Netzwerk,1
History-tabelle,Architektur,1
Dokumenten-server,Protokoll,1
Datenbanksprache,Entitätstyp,1
Datenbanksystem,Anwendergruppe,1
Sprache,Anwendung,1
Dokumentenserver,Spezialfall,1
System,Sicherheitsmuster,1
Harvesting,Fremdschlüssel,1
Windows-system,Systementwicklung,1
Computersystem,Datumenfeld,1
Fehler,Ereignisprotokoll,1
Teilsprache,Verarbeitung,1
Dokumentenserver,Registration,1
Benutzerfehler,Fehler,1
Single-server,Dini-datenbank,1
Processing,Typ,1
Sprache,Benutzerfehler,1
Datenbanksystem,Auswertung,1
Datenaufsichtssprache,Typ,1
Objektdatenbank,Menge,1
Fetching,Anwendung,1
System,Datumensatz,1
Hashtabelle,Datum,1
Abhängigkeitsinformation,Ereignisprotokolldatei,1
Netzwerkdatenbankmodell,Lastenverteilung,1
Warning,Aufwand,1
Edlich,Softwareprojekt,1
Datenspeicher,Ereignisprotokoll,1
Nutzerverhalten,Verhalten,1
Datenaufsichtssprache,Protokoll,1
Referenztabelle,Datumensatz,1
Netzwerkinformation,Ereignisprotokoll,1
Hauptspeicher,Kundennummer,1
Computersystem,Objektdatenbank,1
Teilsprache,Satz,1
Format,Datensatzbegrenzung,1
Denormalisierungsmuster,Menge,1
Proxyserver,Fehler,1
Protokolldateien,Logdateien,1
Datumensatz,Verarbeitung,1
Datenspeichersystem,Datei,1
Zieltabelle,Datenaufsichtssprache,1
Quelltabelle,Satz,1
Datenaufsichtssprache,Fremdschlüssel,1
Opus-server,Datumensatz,1
Objektklasse,Bestand,1
Opus-server,Speicher,1
Computersystem,Dokumentmenge,1
Anbieterserver,Fehler,1
Tabelle,Denormalisierungsmuster,1
Software,Anwendungsseite,1
Processing,Telemedium,1
Datenmanipulationssprache,Entitätstyp,1
Transaktion,Seite,1
Dokumentenserver,Information,1
Sicherheitsmuster,Speicher,1
Datenmanipulationssprache,Fehler,1
Querverweistabelle,Datenaufsichtssprache,1
Master-server,Datumenmodell,1
Anbieterserver,Lösung,1
Sprache,Modell,1
Datenaufsichtssprache,Attribut,1
Mastertabelle,Adressliste,1
Warning,Datenbankanwendung,1
Internet-information,Datenbank-)abfragesprache,1
Dokumentmenge,Zustand,1
Datenbankmodell,Transaktionsprotokoll,1
Single-server,Anwendungsprogramm,1
Datenbankmodell,Schlüssel,1
Manipulationssprache,Systementwicklung,1
Tabelle,Ansi-sparc-architektur,1
Medium,Klasse,1
Menge,Fremdschlüsselbegrenzung,1
Telemedium,Dta-verfahren,1
Datenaufsichtssprache,Objektklasse,1
Fotodatum,Nutzungsdatum,1
Fetching,Netzwerkinformation,1
Quelltabelle,Feld,1
Datenbankmodell,Systementwicklung,1
Preprint-server,Satz,1
Lookup-tabelle,Antimuster,1
Protokoll,Spezialfall,1
Lookup-tabelle,Datenbanktabelle,1
History-tabelle,Anwendung,1
Warning,Logging,1
Objektdatenbankmodell,Dta-verfahren,1
Datenbankmodell,Begriff,1
Humboldt-universität,Universität,1
Datenspeichersystem,Bibliothek,1
Single-server,Datumenbestand,1
Xml-format,Ereignisprotokoll,1
Randdatum,Datumensatz,1
Fehler,Auswertung,1
Hochschulschriftenserver,Abfragesprache,1
Single-server,Datentyp,1
Tracing,Feldname,1
Objektdatenbank,Listen­form,1
Objektdatenbanksystem,Federation,1
Fetching,Primärschlüssel,1
Verantwortlich,Applikation,1
