term1,term2,label,related
Datenbanksystem,Bestand,Kategorie,1
Internet-information,Netzwerkinformation,Bestand,1
Datenverarbeitungssprache,Abfragesprache,Kommunikationsmittel,1
Datenbanksystem,Stapelverarbeitung,Kategorie,1
Universität,Archiv,Gebäude,1
Internet-information,Adressdaten,Verbesserung,1
Server,Entwicklung,Element,1
Datenmanipulationssprache,Datumenbestand,Menge,1
Antimuster,Fall,Muster,1
Manipulationssprache,Datentyp,Güte,1
Manipulationssprache,Archiv,Anzahl,1
Data-warehouse-system,Datentyp,Art,1
Proxyserver,Dokumenten-server,Liste,1
Data-warehouse-system,Spezialfall,Zusammenfassung,1
Versionsverwaltungssystem,Installieren,Klasse,1
Opus-server,Netzwerkdatenbankmodell,Ergebnis,1
Logging,Artikelname,Gegenstand,1
Listen­form,Passwort,Beschwerden,1
Tabelle,Typ,Zustand,1
Windows-system,Entitätstyp,Anzahl,1
Sicherheitsmuster,Bestand,Muster,1
Datenbankmodell,Typ,Wesen,1
Format,Speicher,Größe,1
Data-warehouse-system,Struktur,Zusammensetzung,1
Transaktion,Ereignisprotokoll,Kleidungsstück,1
Datenverarbeitungssprache,Struktur,Rang,1
System,Verteilungsmuster,Eigenschaft,1
Datenbank-)abfragesprache,Feld,Vermögen,1
Datenbanksprache,Datenspeicher,Anzahl,1
Datenaufsichtssprache,Netzwerkinformation,Symbol,1
Manipulationssprache,Klasse,Aufbau,1
Datenspeichersystem,Ereignisprotokoll,Vorgang,1
Datenbanksystem,Objektklasse,Einheit,1
Objektdatenbanksystem,Seite,Zustand,1
System,Menge,Einheit,1
Entwicklung,Liste,Verzeichnis,1
Anwendungsprogramm,Programm,Kleidungsstück,1
Data-warehouse-system,Teilsprache,Zusammenfassung,1
E-mail-server,Windows-system,Konzept,1
Datenspeichersystem,Code,Gefüge,1
Proxyserver,Server,Konzept,1
Datenbanksystem,Information,Vielzahl,1
Computersystem,Seite,Zusammenfassung,1
Datenbanksystem,Antimuster,Aufbau,1
Datenspeichersystem,Form,Zusammenfassung,1
Opus-server,Abfragesprache,Konzept,1
Computersystem,Adressdaten,Menge,1
Datenbanksystem,Internet-information,Gefüge,1
Batch-transaktion,Liste,Verzeichnis,1
Muster,Satz,Raum,1
Single-server,Artikelnummer,Ergebnis,1
Datenbankmodell,Teil,Konstrukt,1
Datenbanksystem,Form,Zusammenfassung,1
Datenbanksprache,Datumenmenge,Gruppe,1
Datenmanipulationssprache,Verarbeitung,Zustand,1
Processing,Quelle,Objekt,1
