term1,term2,related
Grund,Bedeutung,1
Programm,Übernachtung,1
Nicht-schengen-staat,Schulbusschild,1
Regelleistung,Arbeitsstätte,1
Dienstgeschäft,Familie,1
Werbungskosten,Kosten,1
Kilometergeld,Aufwand,1
Wohnsitzstaat,Geschichte,1
Nicht-schengen-staat,Wohnsitzstaat,1
Trivialschema,Bedeutung,1
Reisegrund,Welt,1
Jahr,Durchführung,1
Ausgabe,Mensch,1
Programm,Bedeutung,1
Nächtigungsgeld,Kosten,1
Fahrtkosten,Schulprogramm,1
Arbeitsgesetz,Wiki-form,1
Studienfahrt,Form,1
Klasse,Reisekosten,1
Arbeitsleistung,Auswärtstätigkeit,1
Jahr,Erholung,1
Schulprogramm,Gefährdungsbeurteilung,1
Schule,Geschichte,1
Einkommensteuergesetz,Tätigkeit,1
Kilometergeld,Transitstaat,1
Zweck,Arbeitsstätte,1
Zeit,Autofahrer,1
Freizeitverkehr,Bestimmung,1
Ort,Art,1
Programm,Autofahrer,1
Programm,Schulbusschild,1
Schule,Erledigung,1
Klasse,Trivialschema,1
Wegzeit,Bahn,1
Trennungsgeld,Staat,1
Einkommensteuergesetz,Gesellschaft,1
Schulprogramm,Kontinent,1
Einkommensteuergesetz,Grund,1
Schulbusschild,Autor,1
Einsatzorganisation,Dienststelle,1
Programm,Reiseziel,1
Abgefahren,Richtung,1
Wagenklasse,Wohnung,1
Dienstgeschäft,Stelle,1
Ausgabe,Privatwirtschaft,1
Schüler,Soldat,1
Niveaumilieu,Selbstverwirklichungsmilieu,1
Arbeitsgesetz,Musterschule,1
Beförderungsklasse,Lernen,1
Studienfahrt,Berg,1
Abi-reise,Hippie-bewegung,1
Schulfahrt,Privatwirtschaft,1
Beförderungsklasse,Arbeitsleistung,1
Schülerfahrt,Fahrt,1
Dienst,Betriebsausgabe,1
Arbeit,Treffen,1
Selbstverwirklichungsmilieu,Regelleistung,1
Arbeitsleistung,Arbeitsanweisung,1
Dienstreiseverkehr,Arbeit,1
Taggeld,Erledigung,1
Werbungskosten,Europa,1
Fahren,Verbrechen,1
Freizeitverkehr,Grund,1
Klasse,Lernen,1
Inselsberg,Arbeitgeber,1
Reise,Tramp,1
Verein,Verbindung,1
Programm,Ausgabe,1
Dienstgang,Schiff,1
Motivation,Grund,1
Straßenverbindung,Art,1
Transitstaat,Schweiz,1
Schulbusschild,Stelle,1
