term1,term2,label,related
Selbstverwirklichungsmilieu,Ziel,Gesamtheit,1
Arbeitsleistung,Pflicht,Kanton,1
Freizeitverkehr,Reiseverkehr,Abschnitt,1
Weltreiseführer,August,Maß,1
Zweck,Stelle,Einrichtung,1
Erziehungszweck,Dienstgeschäft,Bezeichnung,1
Pflicht,Erledigung,Geschehnis,1
Kosten,Klasse,Energie,1
Arbeitgeber,Unternehmen,Gesellschaft,1
Erziehungszweck,Arbeitsstätte,Rang,1
Schulfahrt,Verein,Kategorie,1
Nicht-schengen-staat,Familie,Gebiet,1
Klasse,Hippie-bewegung,Tätigkeit,1
Reiseform,Roman,Modell,1
Motivation,Lernen,Ergebnis,1
Schülerfahrt,Auslandreisen,Gemütszustand,1
Wagenklasse,Dienst,Gruppe,1
Frauenfahrt,Tramp,Art,1
Wagenklasse,Durchführung,Gruppe,1
Klasse,Bestandteil,Anzahl,1
Einkommensteuergesetz,Wohnung,Modell,1
Arbeitszeit,Arbeitsanweisung,Element,1
Wagenklasse,Einzelbeschreibung,Handlung,1
Linienverkehr,Unterrichtsgang,Gang,1
Dienstreiseverkehr,Beginn,Ablauf,1
Linienverkehr,Tramper-bewegung,Betrieb,1
Wohnsitzstaat,Pflicht,Aufgabe,1
Jahr,Wegzeit,Moment,1
Wagenklasse,Unterrichtsgang,Möglichkeit,1
Nicht-schengen-staat,Österreich,Arbeit,1
Schulfahrt,Flug,Betätigung,1
Fahrtzweck,Dienst,Schicht,1
Studienfahrt,Unterrichtsgang,Familie,1
Wohnsitzstaat,Grund,Ergebnis,1
Transitstaat,Österreich,Bereich,1
Außendienst,Verein,Platz,1
Reiseform,Hippie-bewegung,Konzeption,1
Fahrtzweck,August,Kategorie,1
Leistung,Dienstgeschäft,Person,1
Studienfahrt,Regelarbeitszeit,Kategorie,1
Arbeitsleistung,Dienstreise,Bereich,1
Bundesreisekostengesetz,Tramp,Lebewesen,1
Klasse,Sicherheit,Anzahl,1
Staat,Dienstreise,Geschehnis,1
Zeit,Teil,Einrichtung,1
Reiseführer,Caritasverband,Einrichtung,1
Niveaumilieu,Mitfahren,Gesamtheit,1
Fahrtzweck,Zeit,Gegenstand,1
Reiseform,Mensch,Schicht,1
Fahrt,Betrieb,Betriebsamkeit,1
Wiki-form,Ort,Truppenteil,1
Erziehungszweck,Dienstgang,Handlung,1
Fahrt,Caritasverband,Ort,1
Linienverkehr,Tramper-bewegung,Bewegung,1
Fahrtzweck,Dienstgang,Anzahl,1
Staat,Haustürgeschäft,Berufstätigkeit,1
Gastfamilie,Soldat,Geologie,1
Reiseverkehr,Tätigkeit,Ablauf,1
Freizeitverkehr,Flug,Umgang,1
Forschungsweltreise,Weltreise,Fortbewegung,1
Dienstgeschäft,Richtung,Unternehmung,1
Bundesreisekostengesetz,Schüler,Mensch,1
Reiseform,Tätigkeit,Menge,1
Form,Richter,Anordnung,1
Schülerfahrt,Zweck,Familie,1
Fahrt,Abenteuer,Kategorie,1
Studienfahrt,Frauenfahrt,Geschwindigkeit,1
Schulbusschild,Frau,Gericht,1
Reiseform,Ort,Zahl,1
Fahren,Musterschule,Verhalten,1
Schule,Bestandteil,Wohnung,1
Wegzeit,Zeit,Zeitabschnitt,1
Fahrtzweck,Weltreiseführer,Gegenstand,1
Dienstgeschäft,Abenteuer,Gesellschaft,1
Beförderungsklasse,Art,Gebiet,1
Erziehungszweck,Organisation,Gegenstand,1
Fahrtzweck,Unterrichtsgang,Abteilung,1
Klasse,Bahn,Lebewesen,1
Schülerfahrt,Privatwirtschaft,Klasse,1
Reiseverkehrsmittel,Welt,Gerät,1
Zweck,Tag,Element,1
Staat,Caritasverband,Teileinheit,1
Arbeitsleistung,Interesse,Geschehnis,1
Zweck,Arbeit,Grundeinheit,1
Frauenfahrt,Verb,Konzeption,1
Regelleistung,Kennenlernen,Unternehmung,1
Fahrtzweck,Geschichte,Raum,1
Zweck,Erledigung,Raum,1
Beförderungsklasse,Kennenlernen,Energie,1
Schülerfahrt,Reiseform,Familie,1
Zweck,Erledigung,Geschäft,1
Dienst,Verkehrsmittel,Gerät,1
Zweck,Arbeitsanweisung,Handlung,1
Wiki-form,Verb,Teileinheit,1
Reisegrund,Begriff,Vorstellung,1
Jahr,Privatwirtschaft,Teil,1
Schulfahrt,Trivialschema,Konzeption,1
Schulverein,Verbindung,Planung,1
Transitstaat,Wohnsitzstaat,Bereich,1
Beförderungsklasse,Familie,Plural,1
Erziehungszweck,Teil,Gruppe,1
Fahrtzweck,Bahn,Konzept,1
Fahrtzweck,Verbrechen,Kategorie,1
