labels,words,scores
Geschwindigkeit,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Klassenfahrt",0.9997673908869426
Fahrt,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Klassenfahrt",0.9996510863304138
Monatsblutung,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Sicherheitsregel, Regel",0.9979915022850036
Theorie,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.9942930567832221
Richtlinie,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.9942930567832221
Regelmäßigkeit,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.9942930567832221
Erfahrungen,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schild, Dienstgang, Unterrichtsgang, Mensch",0.9942930567832221
Gelände,"Reisegrund, Grund, Inselsberg, Berg, Bedeutung",0.9890669226646424
Buch,"Weltreiseführer, Reiseführer, Beurteilung, Information, Richter, Stelle",0.9736157695452372
Schrift,"Zweck, Ort, Weltreiseführer, Reiseführer, Gefährdungsbeurteilung, Beurteilung, Information, Richter, Stelle",0.9693176100651424
Ausdruck,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Betrieb, Arbeitsstätte, Stelle",0.935523795641612
Geld,"Taggeld, Nächtigungsgeld, Kilometergeld, Trennungsgeld, Nielsen, Passen",0.9330929358800252
Bild,"Schulbusschild, Schild, Auto, Kraftfahrzeug, Welt, Bahn",0.9322787046432496
Anweisung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter, Stelle",0.9320511965100932
Bestimmung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter",0.926709632814224
Erklärung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter",0.926709632814224
Betriebsstätte,"Zweck, Ort, Betriebsausgabe, Ausgabe, Science-fiction-roman, Roman, Reisegrund, Grund, Beurteilung, Teil, Bahn, Stelle",0.9145239889621744
Text,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Weltreiseführer, Reiseführer, Arbeit, Aufenthalt, Betrieb, Gefährdungsbeurteilung, Beurteilung, Arbeitsstätte, Information, Richter, Stelle",0.911693157788222
Aufbau,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.9098191376993242
Anforderungen,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.9098191376993242
Gestalt,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.9098191376993242
Endzustand,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.9098191376993242
Ausrichtung,"Fahrtzweck, Erziehungszweck, Zweck, Ziel, Richtung",0.9000000073165211
Satzteil,"Reiseführer, Arbeitsanweisung, Dienstanweisung, Richter, Bestimmung",0.8999090969563361
Verwendungszweck,"Reiseführer, Arbeitsanweisung, Dienstanweisung, Richter, Bestimmung",0.8999090969563361
Zielort,"Reiseführer, Arbeitsanweisung, Dienstanweisung, Richter, Bestimmung",0.8999090969563361
Berufung,"Reiseführer, Arbeitsanweisung, Dienstanweisung, Richter, Bestimmung",0.8999090969563361
Ermittlung,"Reiseführer, Arbeitsanweisung, Dienstanweisung, Richter, Bestimmung",0.8999090969563361
Personengruppe,"Zweck, Schulverein, Verein, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Land, Mensch, Welt, Weblink",0.8993322457241365
Gesetz,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schulbusschild, Schild, Dienstgang, Unterrichtsgang, Schiff, Mensch, Frau",0.8971990618440842
Wert,"Klasse, Zweck, Form, Schule, Dienst, Ort, Betriebsausgabe, Ausgabe, Grund, Art, Zahl, Gesellschaft, Gruppe, Milliarde, Million, Stelle",0.8940316059755568
Software,"Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Dienstreise",0.8807210862636566
Zusammenhang,"Regelarbeitszeit, Arbeitszeit, Schulbusschild, Schild, Auto, Rahmen, Kraftfahrzeug",0.8791608668508983
Verzeichnis,"Schulprogramm, Fahrtenprogramm, Programm, Dienst, Weltreiseführer, Reiseführer, Schülersammelliste, Schülerliste, Verb, Information, Richter, Stelle",0.877484694575029
Betrieb,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Klassenfahrt, Außendienst, Dienst, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Dienstreise",0.8764697796984675
Sternbild,"Schulbus, Schulbusschild, Schild, Auto, Autofahrer, Kraftfahrzeug",0.8740905463695526
Bezug,"Klasse, Reiseform, Wiki-form, Form, Arbeitszeit, Schulbusschild, Schild, Science-fiction-roman, Roman, Hochkulturschema, Trivialschema, Begriff, Rahmen, Kraftfahrzeug, Geschichte, Welt, Bahn",0.8677999047160079
Aufzählung,"Dienst, Einzelbeschreibung, Beschreibung, Verein, Einsatzorganisation, Organisation",0.8662060448074205
Blatt,"Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Schulbusschild, Schild, Dienstreise",0.8650585700358663
Verfassung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Schild, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.8648950802146932
Zeitraum,"Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Landschulwoche, Woche, Tag, Jahrhundert, Monat, August",0.8605755905789961
Form,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Dienstgeschäft, Haustürgeschäft, Schulbusschild, Schild, Arbeitgeber, Bedeutung, Eisenbahn, Schiff, Unternehmen, Verb, Abenteuer, Bahn",0.8598582781936139
