labels,words,scores
Güte,"Verb, Bahn",0.9991034269332886
Abbildung,"Unternehmen, Unterweisung",0.7857206463813782
Geschwindigkeit,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Schulprogramm, Programm, Fahrtenprogramm, Außendienst, Wagenklasse, Beförderungsklasse, Klasse, Schulbusschild, Reiseform, Wiki-form, Form, Bedeutung, Bundesreisekostengesetz, Einkommensteuergesetz, Schülerliste, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Tramper-bewegung, Leistung, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Arbeitsleistung, Regelleistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Geschichte, Berg, Vorphase, Anfangphase, Hochphase, Grund, Arbeitszeit, Regelarbeitszeit, Schulreise, Abi-reise, Hauptmotivation, Prestigemotivation, Motivation, Arbeitsanweisung, Jahr, Zeit, Forschungsweltreise, Musterschule, Mitfahren, Abgefahren, Fahren, Auswärtstätigkeit, Reiseverkehrsmittel, Verkehrsmittel, Beschreibung, Möglichkeit, Übernachtungskosten, Personenverkehrsaufwand, Werbungskosten, Dauer, Taggeld, Nächtigungsgeld, Kilometergeld, Trennungsgeld, Geld, Passen, Niveaumilieu, Selbstverwirklichungsmilieu, Integrationsmilieu, Milieu, Schulveranstaltung, Unterrichtsveranstaltung",0.6805365829630149
Software,"Dienst, Ziel, Schild, Art, Trivialschema, Begriff",0.5712017953395844
Fahrt,"Reise, Klassenfahrt, Hippie-bewegung, Lernen, Austauschjahr, Wegzeit, Trampkultur, Kultur",0.45721640970025745
Wissenschaft,"Kennenlernen, Rahmen, Inselsberg, Arbeitgeber, Privatwirtschaft, Treffen, Fahrtenerlass, Bürger",0.44277809453862055
Ausdruck,"Ausgabe, Aufenthalt, Weltreiseführer, Reiseführer, Arbeitsgesetz, Dienstgang, Unterrichtsgang, Schülersammelliste, Unterhaltungsbetrieb, Dienstreise, Straßenverbindung, Verbindung, Science-fiction-roman, Roman, Wohlfahrtsverband, Haustürgeschäft, Caritasverband, Schule, Austauschreise, Reiseart, Verein, Schulverein, Tätigkeit, Mediumeninteresse, Einsatzorganisation, Organisation, Übernachtung, Trampertreffen, Schüler, Tramp, Lehrkraft, Reisedauer, Gastschüler, Ewr-bürger",0.41706744447841426
Bezug,"Schulwanderung, Bezug, Wandererlass, Generation",0.34957849979400635
Gestalt,"Betrieb, Gefährdungsbeurteilung, Beurteilung, Information, Richter, Welt, Deutschland, Rechtsbegriff, Hochkulturschema, Zahl, Sicherheitsregel, Bundesland, Dienststelle, Fahrer",0.30916198195512523
Schrift,"Familie, Land, Schulbus, Auto, Europa, Thema, Sicherheit, Studie",0.2808101342473362
Folge,"Autofahrer, Gruppe, Dienstgeschäft, Schiff, Auslandreisen, Band, Landschulwoche, August, Dienststätte, Literatur",0.2529435981390268
Umgang,"Geschäftsreise, Mitnahme, Regelung, Verbreitung",0.2180219055468721
Aufbau,"Eisenbahn, Abenteuer, Strandaufenthalt, Zeitaufwand, Einzelbeschreibung, Aufwand, Fahrtkosten, Kosten",0.19764865384552519
Phase,"Flug, Reisen, Schweiz, Tag, Matura-reise, Fernflug, Weltreise, Mitreisen, Woche, Monat, Schulausflug, Asien",0.1874914945326578
Ziffer,"Jahrhundert, Mensch, Weblink, Stelle, Gesellschaft, Frau, Reisegrund, Teil, Dienstanweisung, Bestandteil, Wohnung, Kraftfahrer",0.1844032559175489
Uncategorized,"Arbeitsstätte, Österreich, Erledigung, Kraftfahrzeug, Milliarde, Million, Bestimmung, Richtung, Gastfamilie, Soldat, Vorschuss, Interesse, Durchführung, Kontinent, Transportmittel, Reiseziel, Reisekosten, Betriebsstätte, Erholung, Anhalter, Beginn, Regel, Nielsen, Hippie-generation, Reisesicherheit, Verbrechen, Weltumrundung",0.007075031583425724
