labels,words,scores
Modell,"Erziehungszweck, Zweck",0.9999547004699707
Aufbau,"Fahrt, Fahrtzweck",0.9999426603317261
Stelle,"Schild, Art",0.9998675584793091
Ort,"Arbeitsort, Ort",0.9962257742881775
Phase,"Wagenklasse, Beförderungsklasse, Linienverkehr, Reiseverkehr, Transitstaat, Nicht-schengen-staat, Integrationsmilieu, Milieu",0.9900139719247818
Gasse,"Schulbus, Auto",0.9784224033355713
Bezug,"Schulprogramm, Programm, Klasse, Schulbusschild, Weltreiseführer, Reiseführer, Unterrichtsgang, Schülersammelliste, Schülerliste, Staat, Science-fiction-roman, Roman, Forschungsweltreise, Musterschule",0.761626681456199
Sinn,"Hochphase, Grund, Jahr, Zeit",0.6143058141072592
Ziffer,"Wohnung, Kraftfahrer",0.5222816467285156
Güte,"Studienfahrt, Frauenfahrt, Ausgabe, Aufenthalt, Fahrtenprogramm, Außendienst, Reiseform, Wiki-form, Unternehmen, Unterweisung, Arbeitsgesetz, Dienstgang, Verb, Bahn, Dienstreiseverkehr, Freizeitverkehr, Reise, Klassenfahrt, Wohlfahrtsverband, Haustürgeschäft, Caritasverband, Schule, Inselsberg, Arbeitgeber, Austauschreise, Reiseart, Schulausflug, Asien, Verein, Schulverein, Geld, Passen, Reisedauer, Reisesicherheit",0.4768141085218757
Gang,"Schulfahrt, Schülerfahrt, Arbeit, Betriebsausgabe, Eisenbahn, Abenteuer, Bundesreisekostengesetz, Einkommensteuergesetz, Flug, Reisen, Tramper-bewegung, Leistung, Hippie-bewegung, Lernen, Unterhaltungsbetrieb, Dienstreise, Wohnsitzstaat, Arbeitsleistung, Regelleistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Kennenlernen, Rahmen, Straßenverbindung, Verbindung, Vorphase, Anfangphase, Arbeitszeit, Regelarbeitszeit, Dienstgeschäft, Schiff, Schulreise, Abi-reise, Matura-reise, Fernflug, Weltreise, Mitreisen, Geschäftsreise, Mitnahme, Hauptmotivation, Prestigemotivation, Motivation, Arbeitsanweisung, Austauschjahr, Wegzeit, Woche, Monat, Landschulwoche, August, Privatwirtschaft, Treffen, Mitfahren, Abgefahren, Fahren, Auswärtstätigkeit, Tätigkeit, Mediumeninteresse, Strandaufenthalt, Zeitaufwand, Reiseverkehrsmittel, Verkehrsmittel, Einsatzorganisation, Organisation, Dienststelle, Fahrer, Übernachtung, Trampertreffen, Einzelbeschreibung, Aufwand, Beschreibung, Möglichkeit, Fahrtkosten, Kosten, Übernachtungskosten, Personenverkehrsaufwand, Werbungskosten, Dauer, Wandererlass, Generation, Fahrtenerlass, Bürger, Schüler, Tramp, Taggeld, Nächtigungsgeld, Kilometergeld, Trennungsgeld, Gastschüler, Ewr-bürger, Niveaumilieu, Selbstverwirklichungsmilieu, Trampkultur, Kultur, Schulveranstaltung, Unterrichtsveranstaltung",0.38764781876226645
Erdteil,"Auslandreisen, Band, Europa, Anhalter",0.3786894381046295
Gerät,"Betrieb, Gefährdungsbeurteilung, Dienst, Ziel, Familie, Land, Jahrhundert, Mensch, Form, Bedeutung, Deutschland, Rechtsbegriff, Schweiz, Tag, Weblink, Stelle, Hochkulturschema, Zahl, Trivialschema, Begriff, Geschichte, Berg, Schulwanderung, Bezug, Autofahrer, Gruppe, Sicherheitsregel, Bundesland, Reisegrund, Teil, Dienstanweisung, Bestandteil, Dienststätte, Literatur",0.3494335945745537
Umgang,"Beurteilung, Information, Richter, Welt, Regelung, Verbreitung",0.3316579778989156
Stätte,"Gesellschaft, Frau, Sicherheit, Studie, Lehrkraft, Thema",0.24692181261173876
